normalized_title,representative_title,match_status,match_confidence,failure_reason,candidate_1_title,candidate_1_url,candidate_2_title,candidate_2_url,candidate_3_title,candidate_3_url
surfive,Surfive,ambiguous,low,multiple plausible Wikipedia search results,,,,,,
surfs up,Surfs Up,ambiguous,low,multiple plausible Wikipedia search results,,,,,,
suzuki alstare extreme racing,Suzuki Alstare Extreme Racing,ambiguous,low,multiple plausible Wikimedia entities,,,,,,
swat 4 the stetchkov syndicate,Swat 4 The Stetchkov Syndicate,ambiguous,low,multiple plausible Wikipedia search results,,,,,,
sweet sour,Sweet Sour,ambiguous,low,multiple plausible Wikimedia entities,,,,,,
tabellen,Tabellen,ambiguous,low,multiple plausible Wikimedia entities,,,,,,
take all,TAKE ALL,ambiguous,low,multiple plausible Wikimedia entities,,,,,,
team a,TEAM A,ambiguous,low,multiple plausible Wikimedia entities,,,,,,
team b,TEAM B,ambiguous,low,multiple plausible Wikimedia entities,,,,,,
team fortress,Team Fortress,ambiguous,low,multiple plausible Wikimedia entities,,,,,,
tennis power ball,Tennis Power Ball,ambiguous,low,multiple plausible Wikipedia search results,,,,,,
thandor die invasion,Thandor Die Invasion,ambiguous,low,multiple plausible Wikipedia search results,,,,,,
the bard s tale,The Bard's Tale,ambiguous,low,multiple plausible Wikimedia entities,,,,,,
the blob,The Blob,ambiguous,low,multiple plausible Wikimedia entities,,,,,,
the chosen,The Chosen,ambiguous,low,multiple plausible Wikimedia entities,,,,,,
the cleaner v5,The Cleaner v5,ambiguous,low,multiple plausible Wikimedia entities,,,,,,
the elder scrolls 4 oblivion,The Elder Scrolls 4 Oblivion,ambiguous,low,multiple plausible Wikipedia search results,,,,,,
the elder scrolls oblivion,The Elder Scrolls Oblivion,ambiguous,low,multiple plausible Wikipedia search results,,,,,,
the elder scrolls oblivion editor,The Elder Scrolls Oblivion Editor,ambiguous,low,multiple plausible Wikipedia search results,,,,,,
the italian job,The Italian Job,ambiguous,low,multiple plausible Wikimedia entities,,,,,,
the legend of zelda,The Legend of Zelda,ambiguous,low,multiple plausible Wikimedia entities,,,,,,
the westerner,The Westerner,ambiguous,low,multiple plausible Wikimedia entities,,,,,,
the witcher,The Witcher,ambiguous,low,multiple plausible Wikimedia entities,,,,,,
the witcher v 1,The Witcher v 1,ambiguous,low,multiple plausible Wikimedia entities,,,,,,
the witcher v 1 2,The Witcher v 1 2,ambiguous,low,multiple plausible Wikimedia entities,,,,,,
tiger woods pga tour2005,Tiger Woods PGA Tour 2005,ambiguous,low,multiple plausible Wikimedia entities,,,,,,
timeshift,Timeshift,ambiguous,low,multiple plausible Wikimedia entities,,,,,,
titan quest,Titan Quest,ambiguous,low,multiple plausible Wikimedia entities,,,,,,
